Order,Open,High,Low,Close,Volume
1737,522.16,522.16,522.16,522.16,784827
1738,521.605,521.71,521.605,521.67,3218
1739,521.55,521.64,521.55,521.605,1436
1740,521.43,521.59,521.4,521.56,1100
1741,521.51,522.065,521.42,521.43,3758
1742,521.755,521.77,521.445,521.46,1657
1743,521.72,521.805,521.705,521.76,921
1744,521.78,521.83,521.64,521.71,5727
1745,521.8,521.85,521.775,521.79,1297
1746,521.76,521.79,521.73,521.78,3003
1747,521.68,521.74,521.68,521.74,1451
1748,521.7,521.725,521.65,521.66,414
1749,521.69,521.7,521.64,521.695,9438
1750,521.69,521.74,521.65,521.705,2206
1751,521.92,521.92,521.675,521.675,5193
1752,521.85,521.89,521.82,521.88,212
1753,521.85,521.88,521.8,521.82,4384
1754,521.74,521.94,521.73,521.83,6792
1755,522.16,522.16,521.67,521.73,790735
1756,521.825,521.84,521.73,521.74,1780
1757,521.83,521.9,521.81,521.84,2502
1758,521.92,521.97,521.81,521.83,2746
1759,521.85,521.97,521.84,521.94,2685
1760,521.93,522.04,521.85,521.85,3940
1761,522.19,522.19,521.89,521.93,20715
1762,522.19,522.24,522.16,522.215,965
1763,522.195,522.436,522.14,522.165,385503
1764,522.18,522.255,522.02,522.21,2276
1765,522.205,522.23,522.18,522.18,4026
1766,522.195,522.26,522.15,522.26,3655
1767,522.25,522.26,522.12,522.17,3071
1768,522.18,522.27,522.05,522.27,8664
1769,522.19,522.2,522.16,522.2,144
1770,522.16,522.2,522.14,522.16,1803
1771,522.21,522.21,522.15,522.165,4082
1772,522.2,522.28,483.07,522.195,10186
1773,522.16,522.27,522.06,522.2,6187
1774,522.03,522.125,522.025,522.125,2656
1775,522,522.16,521.99,522.03,85044
1776,522,522.436,521.98,521.98,153259
1777,522.05,522.07,521.96,522,6529
1778,522,522.07,522,522.055,22469
1779,521.96,522.05,521.895,522.01,138080
1780,522.04,522.16,521.94,521.95,247073
1781,522.17,522.175,458.4,522.03,31228
1782,522.18,522.21,458.4,522.17,88174
1783,522.16,523.49,522.14,522.18,6522453
1784,522.3,522.31,522.13,522.15,231912
1785,522.23,523.49,522.08,522.28,3369383
1786,522.47,522.8,522.14,522.22,4319739
1787,521.9,522.5,521.79,522.475,1210499
1788,522.13,522.2,521.88,521.89,1121036
1789,521.7,522.185,521.69,522.125,533462
1790,522.12,522.15,521.61,521.691,533157
1791,521.875,522.2,521.795,522.115,738835
1792,521.975,522.04,521.73,521.87,945749
1793,521.92,522.14,521.835,521.975,303302
1794,522.05,522.195,521.835,521.925,406987
1795,522.189,522.26,521.97,522.047,1064563
1796,522.02,522.34,522.02,522.18,643213
1797,521.86,522.03,521.68,522.024,450693
1798,522.02,522.109,521.72,521.86,678514
1799,522.01,522.15,521.93,522.02,272730
1800,522.04,522.075,521.95,522.005,618677
1801,522.07,522.145,521.93,522.049,287560
1802,522,522.095,521.92,522.07,193420
1803,521.87,522.02,521.855,521.995,176876
1804,522,522.05,521.82,521.871,248658
1805,521.85,522.03,521.74,522,317412
1806,521.58,521.845,521.54,521.84,272677
1807,521.72,521.74,521.47,521.58,277883
1808,521.801,521.81,521.65,521.722,299278
