open,high,low,close,volume
504.48,504.71,503.58,503.67,1213951
504.78,504.94,504.41,504.47,1005490
504.45,504.78,504.245,504.76,817149
505.11,505.27,504.43,504.46,1173224
504.5,505.46,504.472,505.14,1119894
504.99,505.07,504.425,504.51,915570
505.53,505.6,504.915,504.97,510025
505.715,506.12,505.42,505.5,629540
505.95,506.49,505.59,505.73,1110064
505.1,506.05,504.94,505.95,929782
504.875,505.61,504.86,505.11,944595
505.34,505.59,504.73,504.872,949125
505.12,505.44,504.81,505.35,1336754
505.59,505.625,504.79,505.13,1382681
505.94,506.23,505.41,505.59,932591
506.371,506.44,505.56,505.95,853212
505.86,506.61,505.69,506.365,914176
505.5,506.05,505.01,505.87,1272137
505.87,506.25,505.32,505.49,1289938
505.85,506.645,505.525,505.88,1618117
506.18,506.85,505.79,505.83,1215587
506.58,506.61,505.56,506.17,2447614
507.89,508.05,506.55,506.57,1393194
508.63,508.69,507.8,507.9,1371572
509.69,509.72,508.59,508.64,991328
510.42,510.43,509.625,509.7,617922
509.97,510.56,509.93,510.41,518468
510.06,510.195,509.59,509.99,477478
509.93,510.19,509.72,510.075,492020
509.77,510.06,509.67,509.93,663170
509.675,510.03,509.51,509.78,811320
509.89,510.24,509.51,509.701,744571
510.205,510.325,509.66,509.88,710114
510.61,510.62,509.994,510.21,696363
510.69,510.844,510.365,510.6,621161
511.68,511.9,510.6,510.7,715069
512.39,512.485,511.64,511.675,478974
512.515,512.61,510.71,512.4,693332
512.59,512.59,512.23,512.53,281586
512.32,512.62,512.165,512.597,370058
512.56,512.6,512.24,512.315,429799
511.72,512.58,511.66,512.552,471095
511.74,512.11,511.655,511.73,433434
511.995,512.289,511.63,511.72,487876
512.12,512.33,511.79,511.995,1092783
511.6,512.19,511.54,512.11,732073
511.04,511.63,510.96,511.58,633523
511.21,511.23,510.81,511.05,782973
511.26,511.34,510.97,511.22,670490
511.08,511.55,511.06,511.27,690877
511.33,511.46,511.04,511.078,489127
511.11,511.47,510.86,511.345,1208236
511.42,511.77,511.07,511.1,562273
512.25,512.28,511.34,511.41,705960
512.08,512.34,511.52,512.235,952976
511.73,512.265,511.595,512.09,1096203
512.24,512.68,511.48,511.72,1262257
512.58,513.01,512.26,512.26,825463
512.67,512.798,512.21,512.57,836820
513.12,513.18,512.28,512.67,847380
512.51,513.45,512.47,513.12,915983
513.06,513.17,511.94,512.5,1753211
514.58,514.635,513.07,513.07,1409666
514.9,515.01,514.44,514.57,872648
514.97,515.04,514.54,514.89,795893
514.7,515.04,514.68,514.96,746407
515.06,515.215,514.29,514.69,1284213
514.7,515.27,514.7,515.045,919873
514.38,514.77,514.19,514.7,1155981
515.13,515.3,514.34,514.4,2977344
515.04,515.33,514.83,515.1,129991
515.04,515.17,515.0,515.04,37460
515.2,515.28,515.01,515.04,48874
514.93,515.214,514.93,515.19,20431
